imageFile,corrAns,sameOrDiff,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,feedback.started,background_3.started,textbox.started,feedback.stopped,background_3.stopped,textbox.stopped,thanks.started,background_4.started,endmsg.started,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
same/075_DV_C2.jpg,left,same,21,21,0,left,1,10.814745100000437,None,0,21,21,5,236.27920150000136,,,,,,,,236.26554989999931,236.27920150000136,236.27920150000136,236.27920150000136,236.27920150000136,247.0974051000012,left,1,10.814745100000437,None,247.09951619999993,247.10832799999844,247.10832799999844,248.10135079999964,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/132_210_R.jpg,right,different,22,22,0,right,1,8.84146039999905,None,0,22,22,32,248.16310639999938,,,,,,,,248.14902309999889,248.16310639999938,248.16310639999938,248.16310639999938,248.16310639999938,257.0119393999994,right,1,8.84146039999905,None,257.01378939999995,257.02251780000006,257.02251780000006,258.0121908000001,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/081_C2_DV.jpg,left,same,23,23,0,left,1,4.104884799999127,None,0,23,23,6,258.0606153999979,,,,,,,,258.0465645000004,258.0606153999979,258.0606153999979,258.0606153999979,258.0606153999979,262.17665359999955,left,1,4.104884799999127,None,262.1793393000007,262.1895949999998,262.1895949999998,263.17907489999925,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/013_235_R.jpg,right,different,24,24,0,right,1,6.1838496000018495,None,0,24,24,20,263.24036929999784,,,,,,,,263.2264871999978,263.24036929999784,263.24036929999784,263.24036929999784,263.24036929999784,269.43661580000116,right,1,6.1838496000018495,None,269.4391389000011,269.4482304999983,269.4482304999983,270.43373839999913,270.4849071999997,270.4849071999997,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/209_224_R.jpg,right,different,25,25,0,right,1,3.000509499997861,None,0,25,25,34,270.4849071999997,,,,,,,,270.4726891999999,270.4849071999997,270.4849071999997,270.4849071999997,270.4849071999997,273.4999117999978,right,1,3.000509499997861,None,273.5026465999981,273.5128698000008,273.5128698000008,274.49786519999907,274.5632602000005,274.5632602000005,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/170_DV_C2.jpg,left,same,26,26,0,left,1,7.144298700000945,None,0,26,26,17,274.5632602000005,,,,,,,,274.5498676999996,274.5632602000005,274.5632602000005,274.5632602000005,274.5632602000005,281.71687480000037,left,1,7.144298700000945,None,281.71970750000037,281.73063700000057,281.73063700000057,282.71798800000033,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/143_254_R.jpg,right,different,27,27,0,right,1,1.9372020000009798,None,0,27,27,33,282.7781342999988,,,,,,,,282.76274529999864,282.7781342999988,282.7781342999988,282.7781342999988,282.7781342999988,284.72177999999985,right,1,1.9372020000009798,None,284.72460489999867,284.7365471999983,284.7365471999983,285.7323417999978,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/120_DV_C2.jpg,left,same,28,28,0,right,0,15.090449999999691,None,0,28,28,12,285.7836419999985,,,,,,,,285.77109089999794,285.7836419999985,285.7836419999985,285.7836419999985,285.7836419999985,300.87905559999854,right,0,15.090449999999691,None,300.8804750999989,300.89025240000046,300.89025240000046,301.8857855999995,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/261_254_L.jpg,right,different,29,29,0,right,1,5.2743429000001925,None,0,29,29,36,301.9689345000006,,,,,,,,301.95709949999946,301.9689345000006,301.9689345000006,301.9689345000006,301.9689345000006,307.2494106000013,right,1,5.2743429000001925,None,307.25212180000017,307.26556490000075,307.26556490000075,308.25082140000086,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/025_C2_DV.jpg,left,same,30,30,0,left,1,6.843711399997119,None,0,30,30,1,308.3104984999991,,,,,,,,308.2963946999989,308.3104984999991,308.3104984999991,308.3104984999991,308.3104984999991,315.1621641999991,left,1,6.843711399997119,None,315.163747300001,315.1713775999997,315.1713775999997,316.16261360000135,316.2094121000009,316.2094121000009,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/106_224_L.jpg,right,different,31,31,0,right,1,3.1691684000034,None,0,31,31,29,316.2094121000009,,,,,,,,316.19886250000127,316.2094121000009,316.2094121000009,316.2094121000009,316.2094121000009,319.39460959999997,right,1,3.1691684000034,None,319.39701950000017,319.4067725999994,319.4067725999994,320.39572639999824,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/120_133_R.jpg,right,different,32,32,0,right,1,7.008873099999619,None,0,32,32,31,320.43546570000035,,,,,,,,320.427440200001,320.43546570000035,320.43546570000035,320.43546570000035,320.43546570000035,327.45727559999796,right,1,7.008873099999619,None,327.45985160000055,327.4704152000013,327.4704152000013,328.4601411000003,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/303_037_R.jpg,right,different,33,33,0,right,1,7.64880809999886,None,0,33,33,39,328.51286329999857,,,,,,,,328.5009232000011,328.51286329999857,328.51286329999857,328.51286329999857,328.51286329999857,336.17059979999976,right,1,7.64880809999886,None,336.17285569999876,336.18289279999954,336.18289279999954,337.17033100000117,337.23798259999967,337.23798259999967,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/303_DV_C2.jpg,left,same,34,34,0,right,0,2.222163400001591,None,0,34,34,19,337.23798259999967,,,,,,,,337.2255022999998,337.23798259999967,337.23798259999967,337.23798259999967,337.23798259999967,339.4687735000007,right,0,2.222163400001591,None,339.47145269999965,339.480448899998,339.480448899998,340.46806730000026,340.52767400000084,340.52767400000084,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/139_DV_C2.jpg,left,same,35,35,0,left,1,8.867962000000261,None,0,35,35,15,340.52767400000084,,,,,,,,340.51617030000125,340.52767400000084,340.52767400000084,340.52767400000084,340.52767400000084,349.4050582999989,left,1,8.867962000000261,None,349.4074546000011,349.4210340999998,349.4210340999998,350.4086624999982,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/077_133_R.jpg,right,different,36,36,0,right,1,5.216653399998904,None,0,36,36,25,350.46985979999954,,,,,,,,350.45438060000015,350.46985979999954,350.46985979999954,350.46985979999954,350.46985979999954,355.69395950000035,right,1,5.216653399998904,None,355.69602870000017,355.7047883000014,355.7047883000014,356.6887463999992,356.7392493999978,356.7392493999978,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/254_287_L.jpg,right,different,37,37,0,right,1,3.243873100000201,None,0,37,37,35,356.7392493999978,,,,,,,,356.72740690000137,356.7392493999978,356.7392493999978,356.7392493999978,356.7392493999978,359.99186859999827,right,1,3.243873100000201,None,359.99524329999986,360.006461099998,360.006461099998,360.99489449999965,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/025_235_L.jpg,right,different,38,38,0,right,1,2.687657099999342,None,0,38,38,22,361.0505755999984,,,,,,,,361.0396966999979,361.0505755999984,361.0505755999984,361.0505755999984,361.0505755999984,363.7474164000014,right,1,2.687657099999342,None,363.74994549999974,363.7593166000006,363.7593166000006,364.74787490000017,364.80929950000063,364.80929950000063,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/074_C2_DV.jpg,left,same,39,39,0,left,1,2.6259366999984195,None,0,39,39,4,364.80929950000063,,,,,,,,364.7949684999985,364.80929950000063,364.80929950000063,364.80929950000063,364.80929950000063,367.4386506999981,left,1,2.6259366999984195,None,367.44067300000097,367.4496865000001,367.4496865000001,368.4360478999988,368.45158869999796,368.45158869999796,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.43819910000093,368.45158869999796,368.45158869999796,,,,,,,,,
